Michael Clarke,44.87,46.53,39.5,Australia
Steven Smith,37.77,34.23,117.75,Australia
Fawad Ahmed,25.0,20.0,30.0,Australia
Brad Haddin,43.12,32.26,35.0,Australia
Ryan Harris,16.42,19.8,25.0,Australia
Josh Hazlewood,25.0,20.0,31.5,Australia
Mitchell Johnson,20.63,15.0,12.5,Australia
Nathan Lyon,36.0,6.0,27.0,Australia
Mitchell Marsh,25.0,20.0,30.0,Australia
Shaun Marsh,25.0,20.0,37.2,Australia
Peter Nevill,25.0,20.0,30.0,Australia
Chris Rogers,43.68,40.77,75.5,Australia
Peter Siddle,13.59,13.46,30.0,Australia
Mitchell Starc,26.0,26.0,3.0,Australia
Adam Voges,25.0,20.0,167.0,Australia
David Warner,44.06,23.0,33.83,Australia
Shane Watson,43.57,38.0,33.25,Australia
Alastair Cook,39.71,44.1,64.11,England
Moeen Ali,25.0,30.0,24.28,England
James Anderson,9.13,11.84,8.83,England
Gary Ballance,12.5,52.85,40.77,England
Ian Bell,36.83,49.82,22.0,England
Stuart Broad,23.66,29.89,11.5,England
Jos Buttler,25.0,52.0,45.66,England
Steven Finn,2.5,6.66,30.0,England
Adam Lyth,25.0,37.5,37.5,England
Adil Rashid,25.0,40.0,30.0,England
Joe Root,33.18,61.68,67.62,England
Ben Stokes,34.87,32.57,44.88,England
Mark Wood,25.0,24.0,24.0,England
